"Country","world-rankings"
"Afghanistan",61
"Angola",22
"Bosnia & Herzegovina",236
"Botswana",3
"Congo (DRC)",8
"Côte D'Ivoire",31
"Chile",185
"Cameroon",22
"Colombia",121
"Cyprus",85
"Dominican Republic",117
"Algeria",109
"Ecuador",57
"Gabon",30
"Grenada",12
"Ghana",43
"Greece",198
"Israel",248
"Iraq",58
"Kenya",18
"Kyrgyzstan",214
"Cambodia",163
"Kazakhstan",232
"Lebanon",110
"Sri Lanka",56
"Morocco",229
"North Macedonia",60
"Mali",21
"Mongolia",174
"Maldives",12
"Malawi",12
"Malaysia",237
"Mozambique",12
"Nigeria",73
"Oman",188
"Peru",179
"Pakistan",128
"Portugal",238
"Palau",58
"Qatar",170
"Solomon Islands",27
"Senegal",78
"Chad",226
"Tunisia",111
"Tonga",35
"Tanzania",21
"Uganda",16
"Uruguay",72
"Uzbekistan",156
"Venezuela",108
"Vietnam",177
"Kosovo",154
"South Africa",30
"Zambia",15
"Zimbabwe",3
